epoch,accuracy,loss,val_accuracy,val_loss
0,0.3697758,1.3238561613685762,0.42939481139183044,1.2798111734197875
1,0.6390811,0.9850653384057169,0.6426513195037842,0.9673815824799991
2,0.7985054,0.5864175643711053,0.7175792455673218,0.7961121890318154
3,0.8535843,0.40680663060389693,0.6974063515663147,0.7907700919967563
4,0.8865209,0.324515638360019,0.6829971075057983,0.8426190329559942
5,0.91004705,0.25952224154205755,0.6945244669914246,0.912673133594502
6,0.926377,0.21773086282443446,0.6743515729904175,0.9659278231326716
7,0.943814,0.18292613850054304,0.6743515729904175,1.0127229793614545
8,0.9521174,0.15698619858317187,0.6685879230499268,1.0757204307946417
9,0.9576529,0.13895875509181843,0.6772334575653076,1.1734743441216198
10,0.9606975,0.11669805023583091,0.6628242135047913,1.1786038092302658
11,0.9665098,0.11580817755584964,0.6599423885345459,1.2546617500376633
12,0.9678937,0.10312318863126006,0.6657060384750366,1.298089704183749
13,0.97121507,0.09387033948880498,0.6772334575653076,1.3067474172850506
14,0.9717686,0.09048642328232238,0.6484149694442749,1.379356924669887
15,0.9742596,0.08169976522676377,0.6628242135047913,1.3884970186766699
16,0.9745364,0.08316943179707745,0.6599423885345459,1.4243030475951752
17,0.97508997,0.074779847865203,0.6455331444740295,1.4385586008214812
18,0.97758096,0.07017608669914105,0.6570605039596558,1.497127594109571
19,0.97481316,0.07440404785519124,0.6628242135047913,1.5124524522583491
20,0.97370607,0.07221710135443139,0.6599423885345459,1.5468597384625966
21,0.97758096,0.06551797637999998,0.651296854019165,1.5258154285057133
22,0.9753667,0.06694887122337817,0.6599423885345459,1.5723522300335446
23,0.97868806,0.06117063037094286,0.6455331444740295,1.6091293862642404
24,0.97868806,0.06321321465765839,0.6311239004135132,1.608921874153511
